district,date,centx,centy,ipc,area,pop,closest_district,date_future,conflict_count,fatalities,fatalities_per_pop,fatalities_per_area,fatalities_per_poparea,conflicts_per_pop,conflicts_per_area,conflicts_per_poparea
Magwi,2015-04-01,32.2103,3.910535,1.0,5174.613,543109.0,Magwi,2015-04-01,4,0.0,0.0,0.0,0.0,7.3650040783710084e-06,0.0007730046672089294,0.038111045848991644
Magwi,2015-07-01,32.2103,3.910535,2.0,5174.613,543109.0,Magwi,2015-07-01,7,0.43,7.917379384248834e-07,8.30980017249599e-05,0.004096937428766601,1.2888757137149264e-05,0.0013527581676156264,0.06669433023573537
Magwi,2016-02-01,32.2103,3.910535,2.0,5174.613,460086.0,Magwi,2016-02-01,8,0.25,5.433766730567763e-07,4.8312791700558086e-05,0.002811763996296345,1.7388053537816843e-05,0.0015460093344178587,0.08997644788148304
Magwi,2016-06-01,32.2103,3.910535,3.0,5174.613,460086.0,Magwi,2016-06-01,6,1.33,2.89076390066205e-06,0.00025702405184696906,0.014958584460296557,1.3041040153362632e-05,0.001159507000813394,0.06748233591111227
Magwi,2016-10-01,32.2103,3.910535,3.0,5174.613,460086.0,Magwi,2016-10-01,2,4.0,8.694026768908421e-06,0.0007730046672089294,0.04498822394074152,4.347013384454211e-06,0.0003865023336044647,0.02249411197037076
Magwi,2017-02-01,32.2103,3.910535,3.0,5174.613,377063.0,Magwi,2017-02-01,22,1.5,3.978115063000082e-06,0.0002898767502033485,0.020585205920496046,5.834568759066787e-05,0.004251525669649111,0.3019163535006087
Magwi,2017-06-01,32.2103,3.910535,3.0,5174.613,377063.0,Magwi,2017-06-01,10,5.1,1.3525591214200279e-05,0.000985580950691385,0.06998970012968656,2.6520767086667213e-05,0.0019325116680223235,0.13723470613664032
Magwi,2017-10-01,32.2103,3.910535,3.0,5174.613,377063.0,Magwi,2017-10-01,16,3.75,9.945287657500205e-06,0.0007246918755083713,0.05146301480124012,4.243322733866754e-05,0.0030920186688357175,0.2195755298186245
Magwi,2018-02-01,32.2103,3.910535,2.0,5174.613,294039.0,Magwi,2018-02-01,3,3.33,1.1325028312570781e-05,0.0006435263854514337,0.05860263873159683,1.0202728209523227e-05,0.000579753500406697,0.052795170028465614
Magwi,2018-06-01,32.2103,3.910535,2.0,5174.613,294039.0,Magwi,2018-06-01,4,2.25,7.65204615714242e-06,0.0004348151253050228,0.03959637752134921,1.3603637612697636e-05,0.0007730046672089294,0.07039356003795415
Magwi,2018-10-01,32.2103,3.910535,2.0,5174.613,294039.0,Magwi,2018-10-01,2,1.0,3.400909403174409e-06,0.00019325116680223234,0.017598390009488537,6.801818806348818e-06,0.0003865023336044647,0.035196780018977074
Magwi,2019-06-01,32.2103,3.910535,3.0,5174.613,211016.0,Magwi,2019-06-01,3,2.67,1.2653068961595329e-05,0.0005159806153619604,0.06547473513856769,1.4216931417522842e-05,0.000579753500406697,0.07356711813322213
Magwi,2019-10-01,32.2103,3.910535,2.0,5174.613,211016.0,Magwi,2019-10-01,2,1.0,4.7389771391742805e-06,0.00019325116680223234,0.02452237271107404,9.477954278348561e-06,0.0003865023336044647,0.04904474542214808
Magwi,2020-02-01,32.2103,3.910535,3.0,5174.613,969986.7,Magwi,2020-02-01,1,2.0,2.0618839412952776e-06,0.0003865023336044647,0.01066945144711778,1.0309419706476388e-06,0.00019325116680223234,0.00533472572355889
Kajo Keji,2013-10-01,31.46144,3.894441,1.0,2546.453,265632.0,Kajo Keji,2013-10-01,2,0.5,1.8823033369473557e-06,0.0001963515525320907,0.004793196979279605,7.529213347789423e-06,0.0007854062101283628,0.01917278791711842
Kajo Keji,2014-07-01,31.46144,3.894441,1.0,2546.453,273924.0,Kajo Keji,2014-07-01,1,0.0,0.0,0.0,0.0,3.650647624888655e-06,0.0003927031050641814,0.00929620259634059
Kajo Keji,2015-01-01,31.46144,3.894441,1.0,2546.453,282217.0,Kajo Keji,2015-01-01,2,0.5,1.7716863264792695e-06,0.0001963515525320907,0.004511515961122115,7.086745305917078e-06,0.0007854062101283628,0.01804606384448846
Kajo Keji,2015-04-01,31.46144,3.894441,1.0,2546.453,282217.0,Kajo Keji,2015-04-01,1,1.0,3.543372652958539e-06,0.0003927031050641814,0.00902303192224423,3.543372652958539e-06,0.0003927031050641814,0.00902303192224423
Kajo Keji,2015-07-01,31.46144,3.894441,1.0,2546.453,282217.0,Kajo Keji,2015-07-01,1,0.0,0.0,0.0,0.0,3.543372652958539e-06,0.0003927031050641814,0.00902303192224423
Kajo Keji,2016-02-01,31.46144,3.894441,2.0,2546.453,236086.0,Kajo Keji,2016-02-01,3,3.67,1.5545182687664663e-05,0.0014412203955855459,0.03958507709055175,1.2707233804630516e-05,0.0011781093151925443,0.032358373643502795
Kajo Keji,2016-06-01,31.46144,3.894441,2.0,2546.453,236086.0,Kajo Keji,2016-06-01,4,1.25,5.294680751929382e-06,0.0004908788813302268,0.01348265568479283,1.6942978406174023e-05,0.0015708124202567257,0.043144498191337054
Kajo Keji,2016-10-01,31.46144,3.894441,2.0,2546.453,236086.0,Kajo Keji,2016-10-01,5,8.6,3.6427403573274146e-05,0.00337724670355196,0.09276067111137466,2.1178723007717528e-05,0.0019635155253209073,0.05393062273917132
Kajo Keji,2017-02-01,31.46144,3.894441,3.0,2546.453,189955.0,Kajo Keji,2017-02-01,9,4.11,2.1636703429759683e-05,0.001614009761813786,0.05509684835882183,4.737964254691901e-05,0.003534327945577633,0.12065003290252954
Kajo Keji,2017-06-01,31.46144,3.894441,3.0,2546.453,189955.0,Kajo Keji,2017-06-01,28,2.04,1.073938564396831e-05,0.0008011143343309301,0.02734734079124003,0.00014740333236819246,0.01099568694179708,0.3753556579189808
Kajo Keji,2017-10-01,31.46144,3.894441,3.0,2546.453,189955.0,Kajo Keji,2017-10-01,13,5.38,2.8322497433602695e-05,0.002112742705245296,0.07212190855728988,6.843726145666079e-05,0.005105140365834359,0.17427226974809823
Kajo Keji,2018-02-01,31.46144,3.894441,3.0,2546.453,143825.0,Kajo Keji,2018-02-01,15,3.27,2.2735963844950462e-05,0.0012841391535598733,0.05789606334086563,0.00010429341213280028,0.005890546575962722,0.26557827220580565
Kajo Keji,2018-06-01,31.46144,3.894441,3.0,2546.453,143825.0,Kajo Keji,2018-06-01,14,4.5,3.128802363984008e-05,0.0017671639727888165,0.0796734816617417,9.734051799061359e-05,0.00549784347089854,0.24787305405875193
Kajo Keji,2018-10-01,31.46144,3.894441,3.0,2546.453,143825.0,Kajo Keji,2018-10-01,9,0.67,4.6584390752650795e-06,0.00026311108039300156,0.011862496158525986,6.257604727968016e-05,0.003534327945577633,0.1593469633234834
Kajo Keji,2019-02-01,31.46144,3.894441,3.0,2546.453,97694.0,Kajo Keji,2019-02-01,15,1.87,1.914140070014535e-05,0.0007343548064700193,0.04874267723708723,0.00015354064732736914,0.005890546575962722,0.39098404200872106
Kajo Keji,2019-06-01,31.46144,3.894441,3.0,2546.453,97694.0,Kajo Keji,2019-06-01,13,0.38,3.889696398960018e-06,0.00014922717992438896,0.009904929064220934,0.00013306856101705326,0.005105140365834359,0.33885283640755826
Kajo Keji,2019-10-01,31.46144,3.894441,2.0,2546.453,97694.0,Kajo Keji,2019-10-01,3,0.33,3.377894241202121e-06,0.00012959202467117988,0.008601648924191864,3.070812946547383e-05,0.0011781093151925443,0.07819680840174421
Kajo Keji,2020-02-01,31.46144,3.894441,4.0,2546.453,284057.1,Kajo Keji,2020-02-01,4,0.5,1.760209479009678e-06,0.0001963515525320907,0.0044822907084526315,1.4081675832077425e-05,0.0015708124202567257,0.03585832566762105
Ikotos,2013-10-01,33.13061,4.027118,1.0,3562.851,217517.0,Ikotos,2013-10-01,1,14.0,6.436278543746006e-05,0.003929437408412532,0.22931501445864003,4.597341816961433e-06,0.0002806741006008952,0.01637964388990286
Ikotos,2016-06-01,33.13061,4.027118,3.0,3562.851,240417.0,Ikotos,2016-06-01,3,1.0,4.15943964029166e-06,0.0002806741006008952,0.01481946368185278,1.247831892087498e-05,0.0008420223018026855,0.04445839104555834
Ikotos,2017-02-01,33.13061,4.027118,3.0,3562.851,206449.0,Ikotos,2017-02-01,2,3.5,1.695333956570388e-05,0.000982359352103133,0.06040222282500763,9.687622608973645e-06,0.0005613482012017904,0.03451555590000436
Ikotos,2017-10-01,33.13061,4.027118,3.0,3562.851,206449.0,Ikotos,2017-10-01,1,12.0,5.812573565384187e-05,0.003368089207210742,0.20709333540002617,4.8438113044868225e-06,0.0002806741006008952,0.01725777795000218
Ikotos,2018-10-01,33.13061,4.027118,3.0,3562.851,172481.0,Ikotos,2018-10-01,2,1.0,5.7977400409320445e-06,0.0002806741006008952,0.020656483902574775,1.1595480081864089e-05,0.0005613482012017904,0.04131296780514955
Ikotos,2019-02-01,33.13061,4.027118,3.0,3562.851,138513.0,Ikotos,2019-02-01,2,0.5,3.6097694801209995e-06,0.0001403370503004476,0.012861070802018582,1.4439077920483998e-05,0.0005613482012017904,0.05144428320807433
Ikotos,2019-06-01,33.13061,4.027118,3.0,3562.851,138513.0,Ikotos,2019-06-01,3,1.33,9.60198681712186e-06,0.0003732965537991906,0.034210448333369434,2.1658616880725997e-05,0.0008420223018026855,0.0771664248121115
Yei,2015-01-01,30.34454,4.252148,1.0,6713.251,286364.0,Yei,2015-01-01,1,0.0,0.0,0.0,0.0,3.4920590577027837e-06,0.00014895912576484924,0.02344306896118227
Yei,2017-02-01,30.34454,4.252148,3.0,6713.251,197882.0,Yei,2017-02-01,10,0.8,4.042813393840774e-06,0.0001191673006118794,0.02714042105901497,5.053516742300967e-05,0.0014895912576484926,0.3392552632376871
Yei,2017-06-01,30.34454,4.252148,4.0,6713.251,197882.0,Yei,2017-06-01,9,6.78,3.426284351280056e-05,0.0010099428726856778,0.23001506847515185,4.54816506807087e-05,0.0013406321318836431,0.3053297369139184
Yei,2017-10-01,30.34454,4.252148,3.0,6713.251,197882.0,Yei,2017-10-01,3,3.67,1.8546406444244548e-05,0.0005466799915569968,0.12450668160823117,1.5160550226902901e-05,0.00044687737729454775,0.10177657897130613
Yei,2018-02-01,30.34454,4.252148,3.0,6713.251,153641.0,Yei,2018-02-01,1,0.0,0.0,0.0,0.0,6.5086793238783915e-06,0.00014895912576484924,0.04369439797970594
